Title,Media,Pile,Tags,RelativePath,Where,Source
Calau 1818,Image,Drawings_Paintings,,Drawings_Paintings/Vorplatz_am_Brandenburger_1818_Calau.jpeg,https://drive.google.com/drive/folders/1K7sDVQzSzzrFtsZCDoupjZrgQfB1Y28u?usp=sharing,
BerlinEvenstsSchedule,Link,Events_Contemporary,,Events_Contemporary/BerlinEvenstsSchedule.html,https://drive.google.com/drive/folders/12bO2PhHvhFr5IvVdC4lwEZ8JDulNCE1u?usp=sharing,
Flyer - QueerHealing 2021,Image,Events_Contemporary,,Events_Contemporary/QueerHealingTiergartenFlier_2021.jpg,https://drive.google.com/drive/folders/12bO2PhHvhFr5IvVdC4lwEZ8JDulNCE1u?usp=sharing,
Burglary at the zoo 1980,Image,Events_Crime,,Events_Crime/1980_DocumentaryPhoto_Burglaryatthezoo_2.png,https://drive.google.com/drive/folders/1lGrq8M0ZGxL1jZHRxoLA3Zwd5Oyfhn5e?usp=sharing,
Burglary at the zoo 1980 02,Image,Events_Crime,,Events_Crime/1980_DocumentaryPhoto_Burglaryatthezoo.png,https://drive.google.com/drive/folders/1lGrq8M0ZGxL1jZHRxoLA3Zwd5Oyfhn5e?usp=sharing,
Rave Poster,Image,Events_Music,,Events_Music/Rave_Poster_Date_unknown.png,https://drive.google.com/drive/folders/1dwq-D4iBaU_x66xcSaCsnHAtTTYBX_vV?usp=sharing,
Love Parade,Link,Events_Music,,Events_Music/Love_Parade.webloc,https://drive.google.com/drive/folders/1dwq-D4iBaU_x66xcSaCsnHAtTTYBX_vV?usp=sharing,
Potato Farming 1946,Image,Farming,,Farming/Bettman_Potato Farming_1946.jpeg,https://drive.google.com/drive/folders/1QM9m8lt0AtUSQzSqefYP8J76KaKpgNLy?usp=sharing,
Farming 1946,Image,Farming,,Farming/Violet_Farming_1946.jpg,https://drive.google.com/drive/folders/1QM9m8lt0AtUSQzSqefYP8J76KaKpgNLy?usp=sharing,
Bobby the gorilla,Image,Fauna,,Fauna/Picture_BobbyTheGorilla.jpg,https://drive.google.com/drive/folders/1TLMmgg30Ugl9S9AvCzIN2Y_aPLq7s9MB?usp=sharing,
Exerpt - History of Flora in Berlin,Image,Flora,,Flora/Sukkop_HistoryOfTheFloraOfBerlin.png,https://drive.google.com/drive/folders/1R73BkJE0O383_PhE7v2m1AKJjvg1ALZc?usp=sharing,
History of Flora In Berlin,PDF,Flora,,Flora/Sukkop_HistoryOfTheFloraOfBerlin.pdf,https://drive.google.com/drive/folders/1R73BkJE0O383_PhE7v2m1AKJjvg1ALZc?usp=sharing,
Botanical Garden Website,Link,Flora,,Flora/Website_BotanicalGarden_2021.html,https://drive.google.com/drive/folders/1R73BkJE0O383_PhE7v2m1AKJjvg1ALZc?usp=sharing,
Gorny Hommage A Berlin,Image,Gorny_HommageABerlin_1945,,Gorny_HommageABerlin_1945/HeinGorny_HommageABerlin.jpg,https://drive.google.com/drive/folders/1xZMoTqGNC__P4p9YXW8LG56KXHgKoKyI?usp=sharing,
Gorny Hommage A Berlin ,Image,Gorny_HommageABerlin_1945,,Gorny_HommageABerlin_1945/HeinGorny_HommageABerlin_1945_02.jpg,https://drive.google.com/drive/folders/1xZMoTqGNC__P4p9YXW8LG56KXHgKoKyI?usp=sharing,
Gorny Hommage A Berlin ,Image,Gorny_HommageABerlin_1945,,Gorny_HommageABerlin_1945/HeinGorny_HommageABerlin_1945_03.jpg,https://drive.google.com/drive/folders/1xZMoTqGNC__P4p9YXW8LG56KXHgKoKyI?usp=sharing,
Gorny Hommage A Berlin ,Image,Gorny_HommageABerlin_1946,,Gorny_HommageABerlin_1945/HeinGorny_HommageABerlin_1945_04.jpg,https://drive.google.com/drive/folders/1xZMoTqGNC__P4p9YXW8LG56KXHgKoKyI?usp=sharing,
Guided Walk - Web screenshot,Image,Guided_Tours,,Guided_Tours/Heygo_WalkThroughTheTiergarten.png,https://drive.google.com/drive/folders/1v3Dnj4HwK07ZNWN45wrDlAvFQxmcis-S?usp=sharing,
Guided Walk - Website,Link,Guided_Tours,,Guided_Tours/Heygo_walkThroughTheTiergarten.html,https://drive.google.com/drive/folders/1v3Dnj4HwK07ZNWN45wrDlAvFQxmcis-S?usp=sharing,
1921 Horseback in Tiergarten,Image,HorsebackRiding,,HorsebackRiding/1921_HermannEbel_In Tiergarten.jpeg,https://drive.google.com/drive/folders/1HcMAwjGjbRLQpfafZ62Y37W9hWw_V8qd?usp=sharing,
1822 Ice Skating,Image,IceSkating,,IceSkating/1822_Koller_WinterFunInTheTentsInTiergarten.png,https://drive.google.com/drive/folders/1jzH3Zu88RrfriOQit_1rJRicRrTLcLiQ?usp=sharing,
1909 Ice Skating,Image,IceSkating,,IceSkating/Corinth_IceSkatingRinkInTheTiergarten_1909.png,https://drive.google.com/drive/folders/1jzH3Zu88RrfriOQit_1rJRicRrTLcLiQ?usp=sharing,
Dog On Frozen Lake,Image,IceSkating,,IceSkating/Photo_dogOnFrozenLake_2017.jpeg,https://drive.google.com/drive/folders/1jzH3Zu88RrfriOQit_1rJRicRrTLcLiQ?usp=sharing,
1880 Oedipus On Colonnus,Image,KaiserWilhelmGymnasium,,KaiserWilhelmGymnasium/1880_Hertel_OedipusOnColonnus.png,https://drive.google.com/drive/folders/1O0NI7r1Oz05GnAvADmYVOot1YU6Q7AWO?usp=sharing,
Audio Guide to the Park,Link,Lectures,,Lectures/AudioGuide_Tiergarten_Wowo.webloc,https://drive.google.com/drive/folders/1SECtr6-H0RcSdMoO6f7TM6RNqU8bCM7L?usp=sharing,
Bartoli - Tiergarten Landscape Transgression,Link,Lectures,,Lectures/SandraBartoli_TiergartenLandscapeTransgression.webloc,https://drive.google.com/drive/folders/1SECtr6-H0RcSdMoO6f7TM6RNqU8bCM7L?usp=sharing,
Berlin Love Parade 2006 - Photo,Image,LGBTQEvents,,LGBTQEvents/2006_BerlinLoveParade.png,https://drive.google.com/drive/folders/1Lc1zDLyVk_MJ9dX6u8yAQFrzl0EBwl2L?usp=sharing,
Berlin Love Parade 2006,Link,LGBTQEvents,,LGBTQEvents/2006_BerlinLoveParade.webloc,https://drive.google.com/drive/folders/1Lc1zDLyVk_MJ9dX6u8yAQFrzl0EBwl2L?usp=sharing,
Berlin Love Parade 2006 - Photo,Image,LGBTQEvents,,LGBTQEvents/2006_BerlinLoveParade02.png,https://drive.google.com/drive/folders/1Lc1zDLyVk_MJ9dX6u8yAQFrzl0EBwl2L?usp=sharing,
CSD Berlin 2021,Link,LGBTQEvents,,LGBTQEvents/2021_CSDBerlinPhotos.webloc,https://drive.google.com/drive/folders/1Lc1zDLyVk_MJ9dX6u8yAQFrzl0EBwl2L?usp=sharing,
CSD Berlin 2021 - Speeches,Link,LGBTQEvents,,LGBTQEvents/2021_Speeches_CSDBerlin.webloc,https://drive.google.com/drive/folders/1Lc1zDLyVk_MJ9dX6u8yAQFrzl0EBwl2L?usp=sharing,
Love Parade History,Link,LGBTQEvents,,LGBTQEvents/History_BerlinLoveParade.webloc,https://drive.google.com/drive/folders/1Lc1zDLyVk_MJ9dX6u8yAQFrzl0EBwl2L?usp=sharing,
Calau Luiseninsel,Image,Luiseninsel,,Luiseninsel/1825_Calau_LuiseninselInTheTiergarten.png,https://drive.google.com/drive/folders/13HQd5cTuyuPWkgFhJW5eSrlp-KK4f8aO?usp=sharing,
Gunther Luiseninsel,Image,Luiseninsel,,Luiseninsel/Gunther_Luiseninsel.jpeg,https://drive.google.com/drive/folders/13HQd5cTuyuPWkgFhJW5eSrlp-KK4f8aO?usp=sharing,
Schmidt Luiseninsel,Image,Luiseninsel,,Luiseninsel/Schmidt_Luiseninsel_Tiergarten_1820.jpeg,https://drive.google.com/drive/folders/13HQd5cTuyuPWkgFhJW5eSrlp-KK4f8aO?usp=sharing,
Historic map,Image,Maps_General,,Maps_General/5197_Historic_Maps_Berlin.png,https://drive.google.com/drive/folders/1Uj_KsHQi6KCjVGEjbu4ktRWiHgiZsqVF?usp=sharing,
Berlin Map Unknown,Image,Maps_General,,Maps_General/Berlin_map_unknown.jpg,https://drive.google.com/drive/folders/1Uj_KsHQi6KCjVGEjbu4ktRWiHgiZsqVF?usp=sharing,
Stadtplan,Image,Maps_General,,Maps_General/berlin_stadtplan.jpeg,https://drive.google.com/drive/folders/1Uj_KsHQi6KCjVGEjbu4ktRWiHgiZsqVF?usp=sharing,
Map Unknown,Image,Maps_General,,Maps_General/bsh2.png,https://drive.google.com/drive/folders/1Uj_KsHQi6KCjVGEjbu4ktRWiHgiZsqVF?usp=sharing,
Contemporary Map,Image,Maps_General,,Maps_General/map_contemporary.jpeg,https://drive.google.com/drive/folders/1Uj_KsHQi6KCjVGEjbu4ktRWiHgiZsqVF?usp=sharing,
Tiergarten Tourist Map,Image,Maps_General,,Maps_General/tiergarten_tourist_map.jpeg,https://drive.google.com/drive/folders/1Uj_KsHQi6KCjVGEjbu4ktRWiHgiZsqVF?usp=sharing,
Monument To Queen Luisa 1890,Image,Monuments,,Monuments/1890_Werner_MonumentToQueenLuisa.png,https://drive.google.com/drive/folders/1LJAeURLxR21K7YpJaB4Ofgleppgi3i8w?usp=sharing,
Reichstag And Victory Column,Image,Monuments,,Monuments/1900_ReichstagAndVictoryColumn.jpg,https://drive.google.com/drive/folders/1LJAeURLxR21K7YpJaB4Ofgleppgi3i8w?usp=sharing,
Farmer By Victory Column 1946,Image,Monuments,,Monuments/Curlis_1946_FarmerByVictoryColumn.jpg,https://drive.google.com/drive/folders/1LJAeURLxR21K7YpJaB4Ofgleppgi3i8w?usp=sharing,
Keith Harring - Boxers 1987,Image,Monuments,,Monuments/KeithHarring_1987_Boxers.jpg,https://drive.google.com/drive/folders/1LJAeURLxR21K7YpJaB4Ofgleppgi3i8w?usp=sharing,
Lenne - Zoological Garden Memorial,Image,Monuments,,Monuments/PeterLenne_ZoologicalGardenMemorial.png,https://drive.google.com/drive/folders/1LJAeURLxR21K7YpJaB4Ofgleppgi3i8w?usp=sharing,
Skeleton Of An Elk,Image,OrganicMatter,,OrganicMatter/10700BC_SkeletonOfAnElk.jpeg,https://drive.google.com/drive/folders/1p3kdtFFOHJuiA_9zIrXa8hnZILMg15B0?usp=sharing,
Tiergarten Homeless Encampment,Image,People,,People/TheLocal_TiergartenHomelessEncampment_2017.jpg,https://drive.google.com/drive/folders/1u0yb7reMF_jvLh-8BamgqHTjbL4bPvHD?usp=sharing,
Reagan - Speech at the Brandenburg Gate,Link,Political,,Political/1987_Reagan_Speech at the Brandenburg Gate.webloc,https://drive.google.com/drive/folders/1Z21RTl5jarKgJDfSS8N1LEvZmvUYW_5P?usp=sharing,
Green Area Speech 1997,Link,Political,,Political/1997_GreenAreaAct_Grünanlagengesetz.webloc,https://drive.google.com/drive/folders/1Z21RTl5jarKgJDfSS8N1LEvZmvUYW_5P?usp=sharing,
Siegesaule,Image,Photographs,,Photographs/1024px-Berlijn_tiergarten_siegesaule.jpeg,https://drive.google.com/drive/folders/1y2OGEFpwysf1iohXi3qwln1qWrFUS-Af?usp=sharing,
In den Zelten,Image,Photographs,,Photographs/1920px-Berlin_In_den_Zelten.jpeg,https://drive.google.com/drive/folders/1y2OGEFpwysf1iohXi3qwln1qWrFUS-Af?usp=sharing,
Siegessäule 1884,Image,Photographs,,Photographs/1920px-Berlin_stadtansicht_von_siegessäule_vor_1884.jpeg,https://drive.google.com/drive/folders/1y2OGEFpwysf1iohXi3qwln1qWrFUS-Af?usp=sharing,
Tiergarten Photo,Image,Photographs,,Photographs/1920px-Berlin_Tiergarten2.jpeg,https://drive.google.com/drive/folders/1y2OGEFpwysf1iohXi3qwln1qWrFUS-Af?usp=sharing,
Tiergarten Photo,Image,Photographs,,Photographs/1920px-Berlin_Tiergarten4.jpeg,https://drive.google.com/drive/folders/1y2OGEFpwysf1iohXi3qwln1qWrFUS-Af?usp=sharing,
Tiergarten Photo,Image,Photographs,,Photographs/1920px-Bln_Tiergtn8.jpeg,https://drive.google.com/drive/folders/1y2OGEFpwysf1iohXi3qwln1qWrFUS-Af?usp=sharing,
Tiergarten Photo,Image,Photographs,,Photographs/1920px-Bln_Tiergtn9.jpeg,https://drive.google.com/drive/folders/1y2OGEFpwysf1iohXi3qwln1qWrFUS-Af?usp=sharing,
Diana statue 1879,Image,Photographs,,Photographs/1920px-Diana_statue_in_the_Tiergarten_Berlin_1879.jpeg,https://drive.google.com/drive/folders/1y2OGEFpwysf1iohXi3qwln1qWrFUS-Af?usp=sharing,
Frederick William III memorial,Image,Photographs,,Photographs/1920px-Frederick_William_III_memorial_Berlin_1879.jpeg,https://drive.google.com/drive/folders/1y2OGEFpwysf1iohXi3qwln1qWrFUS-Af?usp=sharing,
Rousseauinsel,Image,Photographs,,Photographs/1920px-Rousseauinsel_im_Tiergarten_Berlin_1879.jpeg,https://drive.google.com/drive/folders/1y2OGEFpwysf1iohXi3qwln1qWrFUS-Af?usp=sharing,
